PartCondition,AircraftTotalTime
CRACKED,31779.0
CORRODED,10053.0
CORRODED,10053.0
CORRODED,10053.0
CORRODED,10053.0
CORRODED,10053.0
CORRODED,10053.0
CORRODED,6079.0
CORRODED,6079.0
CORRODED,6079.0
CORRODED,6079.0
CORRODED,6079.0
CORRODED,6079.0
CORRODED,6079.0
CORRODED,6079.0
CORRODED,6079.0
CORRODED,6079.0
CORRODED,6079.0
CORRODED,6079.0
CORRODED,6079.0
CORRODED,6079.0
CORRODED,6079.0
CORRODED,6079.0
CORRODED,6079.0
CORRODED,6079.0
CRACKED,12026.0
CORRODED,7981.0
CRACKED,74346.0
CRACKED,74346.0
CRACKED,74346.0
CRACKED,74346.0
CRACKED,74346.0
CRACKED,74346.0
CRACKED,74346.0
CRACKED,1345.0
CRACKED,65183.0
CRACKED,65183.0
CRACKED,65183.0
CRACKED,65183.0
CRACKED,65183.0
CRACKED,65183.0
CRACKED,65183.0
CRACKED,65183.0
CRACKED,65183.0
CRACKED,65183.0
CORRODED,57061.0
CORRODED,18585.0
CORRODED,18585.0
CORRODED,58618.0
CRACKED,35293.0
CRACKED,71120.0
CRACKED,71120.0
CRACKED,71120.0
CORRODED,37218.0
CRACKED,28217.0
CRACKED,40841.0
CORRODED,40841.0
CRACKED,53635.0
CORRODED,53635.0
CORRODED,56120.0
CORRODED,53376.0
CORRODED,40841.0
CRACKED,40841.0
CRACKED,40841.0
CRACKED,40841.0
CRACKED,40841.0
CORRODED,40841.0
CORRODED,57980.0
CORRODED,40841.0
CRACKED,40841.0
CORRODED,40841.0
CRACKED,111710.0
CORRODED,71926.0
CORRODED,71926.0
CORRODED,71926.0
CORRODED,71926.0
CORRODED,71926.0
CORRODED,71926.0
CRACKED,30377.0
CRACKED,30377.0
CORRODED,56188.0
CRACKED,27106.0
CRACKED,19801.0
CRACKED,71926.0
CORRODED,71926.0
CRACKED,59728.0
CRACKED,38133.0
CRACKED,27106.0
CRACKED,8886.0
CRACKED,20601.0
CORRODED,36697.0
CORRODED,57061.0
CORRODED,62727.0
CORRODED,62727.0
CORRODED,76986.0
CRACKED,96579.0
CRACKED,60253.0
CORRODED,27917.0
CORRODED,27917.0
CORRODED,90372.0
CRACKED,54442.0
CORRODED,40841.0
CORRODED,40841.0
CRACKED,22705.0
CORRODED,22705.0
CRACKED,65142.0
CRACKED,65142.0
CRACKED,65142.0
CRACKED,65142.0
CORRODED,65142.0
CORRODED,65142.0
CRACKED,65142.0
CRACKED,65142.0
CORRODED,70767.0
CORRODED,70767.0
CORRODED,70767.0
CORRODED,70767.0
CORRODED,40841.0
CRACKED,40841.0
CRACKED,40841.0
CRACKED,36697.0
CORRODED,36697.0
CRACKED,142928.0
CORRODED,96128.0
CORRODED,96128.0
CORRODED,26752.0
CRACKED,25664.0
CORRODED,36343.0
CRACKED,28217.0
CORRODED,63764.0
CRACKED,64009.0
CRACKED,64009.0
CRACKED,64009.0
CRACKED,64009.0
CRACKED,64009.0
CRACKED,41970.0
CRACKED,41970.0
CORRODED,41970.0
CRACKED,41970.0
CRACKED,53067.0
CORRODED,52289.0
CORRODED,84936.0
CORRODED,80231.0
CRACKED,80231.0
CRACKED,74911.0
CRACKED,34045.0
CORRODED,34045.0
CORRODED,34045.0
CORRODED,71926.0
CORRODED,71926.0
CRACKED,27106.0
CRACKED,44312.0
CRACKED,27106.0
CRACKED,71926.0
CRACKED,71926.0
CRACKED,38133.0
CORRODED,51632.0
CRACKED,56120.0
CORRODED,53635.0
CORRODED,32637.0
CORRODED,36697.0
CORRODED,71652.0
CORRODED,35923.0
CORRODED,35923.0
CORRODED,32637.0
CRACKED,60741.0
CORRODED,70974.0
CORRODED,70974.0
CORRODED,76090.0
CORRODED,76090.0
CORRODED,62727.0
CRACKED,32051.0
CRACKED,106961.0
CRACKED,106961.0
CRACKED,106961.0
CORRODED,32637.0
CORRODED,32637.0
CORRODED,32637.0
CORRODED,32637.0
